food_code	food_name	number_of_regions	Alanine	Arginine	Aspartic Acid	Glutamic Acid	Glycine	Proline	Serine	Tyrosine	Histidine	Isoleucine	Leucine	Lysine	Methionine	Cystine	Phenylalanine	Threonine	Tryptophan	Valine
C019	Drumstick leaves (Moringa oleifera)	3	7.18±0.84	5.56±0.61	11.94±1.80	16.87±2.55	4.60±0.17	4.00±0.37	4.79±0.55	2.87±0.23	2.06±0.21	3.10±1.17	6.70±0.59	4.38±0.29	0.92±0.17	0.75±0.04	6.45±0.58	3.75±0.47	1.27±0.23	4.38±1.28
C020	Fenugreek leaves (Trigonella foenum graecum)	5	6.06±1.35	5.45±0.97	13.48±2.09	11.12±2.92	5.21±0.45	4.92±0.89	3.94±0.88	3.55±0.26	2.40±0.23	4.47±0.55	7.50±0.63	5.88±1.09	1.28±0.10	0.74±0.19	5.52±0.23	4.90±0.61	0.99±0.13	6.27±0.60
C021	Garden cress (Lepidium sativum)	2	7.15	4.41	12.48	15.70	5.79	5.06	4.00	3.50	1.42	4.51	9.23	4.54	1.95	0.67	4.72	4.95	1.26	6.17
C022	Gogu leaves, green (Hibiscus cannabinus)	4	7.30±1.61	6.04±0.39	11.78±1.43	12.63±0.43	5.17±0.45	4.31±0.14	4.88±0.63	3.40±0.19	2.61±0.11	3.64±0.79	7.60±0.37	5.61±0.26	1.31±0.11	0.73±0.13	5.04±0.28	4.63±0.16	1.07±0.25	4.55±1.16
C023	Gogu leaves, red (Hibiscus cannabinus)	1	6.79	6.92	12.21	12.82	5.57	4.69	4.79	3.80	2.72	4.34	8.60	6.03	1.76	0.86	5.65	5.10	1.04	6.02
C024	Knol-Khol, leaves (Brassica oleracea var. gongylodes)	2	6.76	5.30	10.33	18.00	5.31	5.39	4.48	2.90	1.96	4.31	7.20	4.27	1.37	0.95	4.93	4.45	1.05	5.70
C025	Lettuce (Lactuca sativa)	3	6.51±1.32	4.77±0.70	11.32±1.55	16.10±3.52	5.68±0.33	4.51±0.41	3.80±1.00	3.00±0.57	1.74±0.19	3.49±1.44	6.90±1.45	5.22±0.37	0.95±0.37	0.87±0.10	3.61±1.49	4.50±0.57	1.23±0.41	4.95±0.58
C026	Mustard leaves (Brassica juncea)	3	6.60±0.38	5.74±1.04	10.86±1.05	18.67±1.11	5.31±0.37	4.65±0.63	5.11±0.53	3.21±0.17	1.91±0.23	3.22±0.15	6.57±0.01	5.42±0.34	0.74±0.09	1.02±0.13	3.53±0.67	4.08±0.57	1.31±0.14	3.52±0.43
C027	Pak Choi leaves(Brassica rapa var. Chinensis)	1	5.86	6.58	9.58	12.86	4.87	4.76	4.61	3.48	2.48	3.78	7.98	6.26	1.96	1.12	5.89	5.03	1.23	5.67
C028	Parsley (Petroselinum crispum)	3	7.18±0.42	4.53±0.18	11.18±0.12	12.86±0.09	5.06±0.02	4.63±0.55	4.56±0.21	3.00±0.44	1.76±0.16	4.78±0.24	7.82±0.82	5.75±0.86	1.32±0.13	0.87±0.05	5.31±0.39	4.91±0.39	1.68±0.06	6.19±0.33
C029	Ponnaganni (Alternanthera sessilis)	2	6.83	4.67	9.32	14.56	6.02	5.40	4.46	3.25	1.87	4.89	8.77	5.01	1.58	0.93	5.41	5.35	1.18	5.95
C030	Pumpkin leaves, tender (Cucurbita maxima)	6	5.62±1.10	6.02±1.00	11.79±1.10	14.36±0.04	5.50±0.35	5.25±0.54	4.65±0.19	3.46±0.22	1.63±0.53	5.27±0.07	8.85±0.22	4.90±0.17	0.99±0.27	0.85±0.07	6.40±0.12	4.52±0.30	1.76±0.05	5.82±0.11
C031	Radish leaves (Raphanus sativus)	6	7.90±0.77	4.80±0.73	9.71±0.80	17.10±3.08	5.50±0.39	4.04±1.25	4.73±0.62	3.05±0.48	1.96±0.41	3.59±0.82	6.89±1.11	5.34±0.50	1.01±0.35	0.86±0.14	6.00±3.77	3.99±0.87	1.39±0.52	4.26±1.65
