food_code	food_name	number_of_regions	Alanine	Arginine	Aspartic Acid	Glutamic Acid	Glycine	Proline	Serine	Tyrosine	Histidine	Isoleucine	Leucine	Lysine	Methionine	Cystine	Phenylalanine	Threonine	Tryptophan	Valine
O011	Goat, kidneys	4	5.52±0.22	5.74±1.03	8.43±0.22	12.62±0.77	6.98±0.29	4.73±0.29	5.08±0.09	4.77±0.87	3.41±0.39	4.08±0.25	8.48±0.46	6.46±0.19	2.66±0.32	1.71±0.05	5.44±0.43	5.23±0.18	1.50±0.11	5.69±0.21
O012	Goat, tube (small intestine)	3	5.75±0.38	7.42±0.74	8.28±0.00	12.78±0.81	9.29±0.34	5.30±0.13	4.61±0.09	3.13±0.03	3.90±0.83	3.50±0.11	7.50±0.04	7.01±0.34	2.31±1.02	1.44±0.05	4.14±0.03	4.55±0.33	1.47±0.00	4.44±0.17
O013	Goat, testis	2	5.99	6.44	8.38	12.92	9.35	5.51	4.31	3.94	3.88	3.40	7.09	8.31	2.41	1.32	4.36	4.59	1.28	5.25
O014	Sheep, shoulder	5	5.36±0.29	7.87±0.87	9.61±0.32	14.72±0.95	5.47±0.39	4.64±0.27	4.34±0.45	4.10±0.45	3.73±0.65	4.19±0.19	8.05±0.15	7.68±0.28	2.48±0.20	1.31±0.37	4.82±0.07	5.23±0.78	1.42±0.12	5.22±0.36
O015	Sheep, chops	4	5.48±0.19	6.80±0.37	9.39±0.32	14.31±0.14	5.91±0.80	4.24±0.15	4.33±0.40	3.59±0.21	3.31±0.26	4.64±0.38	7.29±0.13	7.36±0.48	2.76±0.20	1.39±0.11	4.23±0.26	5.19±0.69	1.50±0.16	4.89±0.17
O016	Sheep, leg	5	5.33±0.34	7.78±0.72	9.52±0.55	14.46±0.43	5.86±0.67	3.97±0.35	4.57±0.54	4.10±0.53	3.88±0.84	4.19±0.04	8.26±0.16	7.07±0.25	2.42±0.28	1.54±0.16	4.58±0.07	5.54±0.86	1.47±0.17	4.89±0.12
O017	Sheep, brain	1	6.04	6.83	8.08	13.47	5.28	3.89	5.19	4.23	2.47	4.69	8.51	5.21	3.20	1.34	4.19	5.54	1.29	5.30
O018	Sheep, tongue	1	5.22	6.79	8.30	14.42	6.28	4.30	4.79	3.78	3.64	3.72	7.49	5.45	2.72	1.48	3.62	5.71	1.36	4.87
O019	Sheep, lungs	2	6.63	7.43	7.27	10.53	8.33	5.48	4.64	3.37	2.58	3.22	7.78	5.02	2.48	1.40	4.53	4.56	1.36	5.41
O020	Sheep, heart	1	5.56	6.45	7.65	13.75	5.50	4.23	4.72	3.81	3.18	4.15	7.86	6.77	2.09	1.61	4.86	5.93	1.40	5.45
O021	Sheep, liver	4	5.12±0.71	5.66±0.99	8.22±0.80	10.93±0.65	5.17±0.20	4.79±0.65	4.91±0.16	3.67±0.07	2.83±0.27	4.53±0.12	7.79±0.34	6.20±0.06	2.64±0.29	1.68±0.22	4.68±0.20	4.39±0.30	1.19±0.28	5.52±0.39
O022	Sheep, tripe	2	5.33	7.17	8.65	10.80	8.76	5.11	4.36	4.42	3.44	3.32	7.05	5.78	2.60	1.48	6.05	4.72	1.46	3.86
O023	Sheep, spleen	1	7.04	6.55	8.83	12.11	6.76	4.38	4.39	3.34	2.89	4.02	8.91	5.90	2.27	1.46	5.50	5.05	1.38	6.94
O024	Sheep, kidneys	2	5.04	5.61	8.82	12.78	6.65	4.90	4.91	4.36	3.78	3.78	7.69	6.34	2.57	1.69	5.11	5.08	1.59	4.89
O025	Beef, shoulder	6	5.36±0.36	7.48±0.88	9.06±0.29	13.85±0.62	5.96±0.50	4.46±0.31	4.45±0.32	3.97±0.44	3.85±0.44	4.25±0.11	8.29±0.09	7.57±0.11	2.60±0.28	1.38±0.15	4.91±0.34	5.09±0.52	0.94±0.22	5.35±0.38
O026	Beef, chops	4	5.37±0.45	6.51±0.88	9.40±0.72	14.07±0.78	6.26±0.25	4.80±0.26	4.79±0.57	3.80±0.47	3.82±0.38	4.73±0.66	8.26±0.62	5.67±0.09	2.87±0.40	1.25±0.09	5.32±0.55	5.51±0.47	1.17±0.18	5.32±0.52
O027	Beef, round (leg)	6	5.41±0.17	7.00±0.85	9.85±0.31	14.70±0.61	5.82±0.65	4.13±0.23	4.19±0.58	4.28±0.30	3.67±0.50	4.49±0.29	8.09±0.22	6.43±0.16	2.90±0.22	1.63±0.35	4.67±0.18	5.07±0.36	1.42±0.16	5.10±0.13
O028	Beef, brain	4	5.64±0.50	6.29±0.53	8.08±0.25	12.75±0.54	5.65±0.47	4.05±0.23	5.43±0.53	4.87±0.58	2.74±0.02	4.17±0.55	8.42±0.46	5.48±0.21	2.75±0.17	1.35±0.08	4.70±0.07	5.35±0.53	1.39±0.02	5.43±0.62
O029	Beef, tongue	4	5.49±0.14	6.77±0.88	8.23±0.50	13.80±0.47	5.72±0.48	4.77±0.21	4.67±0.18	3.71±0.43	3.22±0.21	4.35±0.32	7.98±0.47	5.55±0.11	3.02±0.21	1.25±0.31	4.59±0.55	4.99±0.45	1.20±0.18	5.20±0.59
O030	Beef, lungs	3	6.12±0.47	6.21±1.62	7.08±0.19	11.46±0.08	8.15±0.52	5.74±0.34	4.78±0.56	3.87±0.55	3.46±0.28	3.56±0.13	8.13±0.26	5.37±0.14	2.61±0.30	1.64±0.20	5.20±0.59	4.51±0.47	1.47±0.14	5.92±0.18
O031	Beef, heart	5	5.53±0.54	7.29±0.08	8.00±0.55	13.39±0.53	4.60±0.47	4.30±0.63	4.92±0.54	4.92±0.61	2.54±0.50	4.53±0.44	7.77±0.48	6.41±0.05	2.84±0.16	1.61±0.23	6.01±0.20	5.84±0.46	1.44±0.13	4.99±0.57
O032	Beef, liver	6	5.54±0.29	5.94±0.31	8.48±0.25	11.84±0.42	5.60±0.37	4.59±0.09	4.66±0.14	3.77±0.59	2.92±0.13	4.24±0.18	8.53±0.57	6.53±0.18	2.82±0.21	1.30±0.26	5.02±0.59	4.83±0.23	1.17±0.12	5.90±0.55
O033	Beef, tripe	5	6.07±0.38	7.06±0.20	8.39±0.68	11.70±0.13	7.40±0.23	5.40±0.64	4.54±0.27	4.16±0.26	3.30±0.14	4.07±0.14	7.11±0.18	5.28±0.06	2.82±0.23	1.75±0.37	5.58±0.07	4.38±0.07	1.48±0.16	4.75±0.20
O034	Beef, spleen	6	5.71±0.58	6.12±0.55	7.73±0.41	11.81±0.51	7.41±0.60	4.75±0.52	4.86±0.26	3.17±0.08	3.19±0.35	3.78±0.49	8.38±0.39	5.50±0.19	2.54±0.44	1.65±0.40	5.05±0.56	4.82±0.34	1.49±0.14	5.83±0.51
O035	Beef, kidneys	3	5.40±0.44	6.21±0.18	7.95±0.18	12.93±0.66	5.26±0.09	5.05±0.30	4.96±0.23	4.26±0.34	3.33±0.27	3.78±0.34	8.08±0.21	6.85±0.18	2.56±0.26	1.56±0.21	5.22±0.60	5.27±0.38	1.32±0.04	5.14±0.63
O036	Calf, shoulder	2	5.40	5.35	9.49	13.73	5.07	4.59	4.64	3.11	3.60	3.95	7.73	5.58	2.36	1.04	3.87	4.82	1.14	4.71
O037	Calf, chops	2	5.69	5.78	10.47	14.47	5.09	4.33	4.43	3.68	3.76	4.90	8.23	5.61	2.82	1.08	4.47	5.22	1.30	5.28
O038	Calf, round (leg)	2	5.99	6.66	9.45	14.32	5.38	4.37	4.52	4.09	5.10	4.62	8.32	6.49	3.01	1.66	4.36	5.12	1.25	5.45
O039	Calf, brain	2	5.67	5.22	8.18	13.19	5.12	4.08	5.59	4.40	2.33	4.37	9.19	5.56	2.30	1.32	4.25	5.98	1.40	5.17
O040	Calf, tongue	2	6.86	6.39	8.45	12.73	6.61	4.43	4.70	3.50	2.70	3.92	7.77	5.54	2.21	1.20	4.37	4.89	1.54	4.76
O041	Calf, heart	1	4.98	6.83	7.97	13.82	5.50	3.78	4.20	4.28	2.69	4.13	8.11	6.43	2.29	1.49	5.38	5.25	1.41	5.00
O042	Calf, liver	1	5.51	5.55	8.61	12.77	5.66	4.55	4.62	3.62	2.36	4.28	8.76	6.13	2.65	1.52	4.98	4.33	1.43	6.13
O043	Calf, spleen	1	6.96	5.32	8.25	13.25	7.83	4.54	4.51	3.25	3.15	3.45	9.51	5.66	2.26	1.47	5.19	4.76	1.47	6.84
O044	Calf, kidneys	2	5.92	6.15	8.20	12.50	6.08	5.23	5.10	4.19	3.77	3.88	8.27	6.39	2.81	1.55	5.38	5.49	1.21	5.53
O045	Mithun, shoulder	1	6.01	7.44	9.54	16.40	5.63	4.83	4.20	3.87	4.08	4.45	7.48	7.78	2.52	1.28	4.47	4.72	1.28	5.01
O046	Mithun, chops	1	5.37	7.73	9.71	15.61	5.60	4.29	4.50	3.87	3.35	4.71	7.87	6.92	3.10	1.14	4.76	5.21	1.28	4.65
O047	Mithun, round (leg)	1	5.50	7.34	9.57	14.79	5.38	4.16	4.37	4.58	3.77	4.40	7.87	6.49	2.58	1.21	3.94	5.08	1.33	4.93
O048	Pork, shoulder	6	5.32±0.44	6.51±0.58	9.17±0.24	13.31±0.59	5.37±0.10	5.74±0.50	4.33±0.12	3.23±0.52	3.86±0.46	4.40±0.07	8.39±0.12	5.50±0.13	2.89±0.40	1.35±0.43	4.41±0.29	4.83±0.29	1.32±0.11	4.39±0.43
O049	Pork, chops	6	6.74±0.05	7.30±1.49	9.73±0.21	14.27±0.94	5.50±0.13	5.27±0.04	4.69±0.64	3.46±0.07	4.08±0.72	4.55±0.08	7.77±0.04	5.97±1.11	2.88±0.13	1.41±0.14	4.37±0.67	4.42±0.25	1.31±0.08	4.63±0.23
O050	Pork, ham	6	5.32±0.44	7.62±0.58	9.38±0.25	14.18±1.07	5.41±0.29	4.79±0.54	4.49±0.21	4.47±0.51	4.47±0.22	4.81±0.45	8.27±0.26	6.49±0.14	2.78±0.26	1.77±0.39	5.09±0.25	4.91±0.38	1.47±0.11	4.56±0.34
O051	Pork, lungs	4	6.76±0.31	6.50±0.88	8.22±0.62	11.71±0.39	8.27±0.11	6.23±0.22	4.75±0.34	2.93±0.22	3.02±0.35	3.17±0.29	8.00±0.55	5.50±0.12	2.27±0.58	1.84±0.25	3.92±0.62	4.34±0.20	1.37±0.18	6.16±0.48
O052	Pork, heart	4	5.76±0.35	6.20±1.89	8.65±0.46	13.97±0.63	6.09±0.15	4.49±0.28	4.41±0.33	4.51±0.41	3.11±0.08	4.44±0.40	8.73±0.35	6.57±0.24	2.86±0.34	1.68±0.44	5.58±0.12	5.09±0.49	1.55±0.04	5.69±0.36
O053	Pork, liver	5	5.26±0.51	6.12±0.70	8.60±0.20	12.99±0.81	5.89±0.44	4.34±0.38	4.87±0.56	3.61±0.43	3.07±0.47	4.28±0.19	8.64±0.35	6.71±0.21	2.57±0.27	1.53±0.43	4.73±0.57	4.73±0.45	1.24±0.15	6.07±0.18
O054	Pork, stomach	1	5.55	8.82	8.96	9.24	8.41	4.56	5.29	5.48	3.13	4.49	6.44	6.66	2.89	1.22	5.47	5.27	1.46	5.04
O055	Pork, spleen	3	6.30±0.42	6.77±0.44	8.61±0.68	12.65±0.40	7.08±0.41	4.59±0.28	4.78±0.42	2.71±0.21	3.06±0.02	3.61±0.30	8.61±0.47	7.53±0.34	2.43±0.65	1.50±0.51	4.26±0.07	4.36±0.08	1.28±0.28	5.84±0.16
O056	Pork, kidneys	5	5.55±0.56	5.86±0.32	8.87±0.51	11.65±0.48	7.22±0.43	4.73±0.27	5.08±0.35	3.98±0.66	3.67±0.49	4.07±0.31	8.12±0.11	7.76±0.07	2.53±0.23	1.36±0.41	4.96±0.21	5.15±0.61	1.26±0.10	6.11±0.64
O057	Pork, tube (small intestine)	1	6.70	7.99	8.07	13.19	9.15	5.32	4.97	2.92	4.08	3.62	7.93	7.74	2.25	1.26	3.50	4.98	1.27	4.73
O058	Hare, shoulder	1	7.07	6.81	8.41	15.99	6.27	4.75	4.08	3.99	2.57	5.04	9.13	7.76	2.53	1.03	5.01	4.64	1.49	5.04
O059	Hare, chops	1	6.82	6.48	8.80	14.89	5.53	4.24	4.32	3.80	2.64	5.26	9.08	7.46	2.93	1.20	4.88	4.98	1.64	5.86
O060	Hare, leg	1	6.47	6.45	8.93	15.68	5.22	4.43	4.12	4.03	2.72	5.18	9.00	7.73	2.71	1.05	4.94	4.83	1.82	5.08
O061	Rabbit, shoulder	1	6.63	6.59	8.65	15.43	5.01	3.83	4.29	4.35	2.86	5.42	8.34	7.23	2.88	1.21	5.31	5.04	1.65	5.10
O062	Rabbit, chops	1	6.74	6.52	8.61	15.31	4.80	4.46	4.31	4.21	2.97	5.56	8.84	7.51	3.17	1.34	4.93	5.11	1.46	5.10
O063	Rabbit, leg	1	6.94	6.71	8.48	14.40	6.02	4.62	4.26	4.41	2.95	5.31	9.17	7.21	2.54	1.21	5.09	4.86	1.52	5.08
P	MARINE FISH																			
P001	Allathi (Elops machnata)	1	5.41	5.95	10.70	14.01	4.68	3.39	3.88	5.15	5.23	4.76	7.80	6.63	3.26	1.42	5.49	5.13	1.18	5.26
P002	Aluva (Parastromateus niger)	3	5.55±0.36	6.97±1.17	9.56±1.05	13.13±0.62	5.47±0.29	3.53±0.40	4.34±0.63	5.13±0.33	3.72±0.23	4.57±0.40	8.65±0.35	5.91±0.96	2.28±0.30	1.42±0.39	6.43±0.42	5.57±0.74	0.99±0.02	5.74±0.25
P003	Anchovy (Stolephorus indicus)	2	5.28	5.83	7.89	14.66	5.57	3.35	4.39	4.15	3.65	4.59	7.72	5.67	3.28	1.82	4.61	5.55	0.81	5.49
P004	Ari fish (Aprion virescens)	1	5.39	7.56	10.65	12.16	5.83	3.28	4.38	4.26	4.71	4.56	8.23	6.30	2.64	2.14	4.55	5.49	1.23	5.11
P005	Betki (Lates calcarifer)	1	2.15	5.93	10.35	13.28	6.51	5.55	4.46	5.28	4.54	4.62	6.98	7.60	3.15	1.95	5.79	5.19	0.81	5.33
P006	Black snapper (Macolor niger)	1	5.67	5.74	11.43	15.70	5.36	3.58	4.07	3.85	4.94	4.93	7.97	5.84	3.12	2.01	5.33	4.64	0.79	5.43
P007	Bombay duck (Harpadon nehereus)	2	5.95	5.25	9.93	11.16	6.17	6.14	4.50	4.23	4.60	4.49	7.47	7.17	3.44	1.74	5.37	4.51	1.25	5.34
P008	Bommuralu (Muraenesox cinerius)	3	4.52±0.53	6.73±0.33	10.19±0.81	13.89±0.53	4.76±0.34	3.29±0.42	4.54±0.07	5.46±0.47	3.74±0.09	4.75±0.46	8.59±0.25	5.07±0.45	2.57±0.13	1.48±0.14	6.19±0.37	5.58±0.11	1.19±0.07	5.35±0.45
P009	Cat fish (Tachysurus thalassinus)	1	5.84	5.77	12.00	15.36	5.19	3.62	4.18	3.91	2.06	5.04	8.35	6.13	2.12	1.42	4.40	4.83	0.55	5.59
P010	Chakla (Rachycentron canadum)	5	5.57±0.20	6.88±1.24	10.25±0.50	13.92±0.58	4.96±0.22	3.44±0.16	4.30±0.25	4.41±0.59	3.61±0.32	4.62±0.17	7.59±0.29	6.26±0.44	2.52±0.21	1.83±0.32	5.63±0.28	5.15±0.46	1.02±0.12	5.28±0.16
P011	Chappal (Aluterus monoceros )	1	5.73	8.17	9.16	14.10	6.10	3.75	4.97	3.35	3.04	4.82	8.35	5.47	4.10	1.91	4.72	5.76	1.18	5.75
P012	Chelu (Elagatis bipinnulata)	2	5.15	6.98	9.86	14.88	5.07	3.34	5.11	4.47	2.96	4.70	7.41	6.31	4.15	1.58	4.37	5.82	1.13	5.63
P013	(Lutjanus quinquelineatus) Chembali	1	5.72	5.98	11.41	12.69	5.60	3.21	4.28	5.44	3.19	4.60	7.72	8.03	4.30	1.45	4.93	5.29	1.01	5.26
P014	Eri meen (Pristipomoides filamentosus)	1	5.72	5.97	10.33	15.02	5.89	3.56	4.40	3.48	3.89	4.86	8.19	6.92	3.19	1.67	5.95	5.25	1.11	5.39
P015	Gobro (Epinephelus diacanthus)	2	5.43	6.38	9.19	14.35	5.02	3.37	4.49	4.26	2.87	4.59	7.92	7.51	3.54	1.98	4.52	5.53	1.15	5.23
P016	Guitar fish (Rhinobatus prahli)	1	6.14	6.69	9.13	14.68	5.78	5.29	4.29	4.85	2.35	4.89	8.37	6.92	3.07	1.33	4.26	4.96	1.04	5.22
P017	Hilsa (Tenualosa ilisha)	2	4.43	4.15	1.72	13.13	6.66	6.85	4.43	3.83	4.32	3.79	8.14	7.45	3.68	1.43	5.17	5.48	1.88	5.35
P018	Jallal (Arius sp.)	1	5.11	6.87	9.54	13.98	5.33	3.14	5.41	4.28	3.50	4.78	7.85	6.03	3.97	2.27	5.02	5.80	1.08	5.41
P019	Jathi vela meen (Lethrinus lentjan)	2	5.61	6.42	9.92	14.07	5.38	3.73	4.23	4.18	3.58	4.63	8.25	6.72	3.79	1.75	4.40	4.75	1.00	5.70
P020	Kadal bral (Synodus indicus)	1	5.00	6.44	10.46	13.80	5.37	3.20	4.34	3.51	3.20	4.38	7.43	6.52	3.46	2.01	3.82	5.39	0.81	5.22
P021	Kadali (Nemipterus mesoprion)	1	6.23	5.35	8.51	16.44	5.13	3.74	3.87	5.27	3.63	4.71	8.01	7.43	2.33	1.21	5.77	5.48	1.11	5.24
P022	Kalamaara (Leptomelanosoma indicum)	2	5.48	7.75	8.39	13.66	5.38	3.55	4.44	5.55	2.76	4.52	8.63	6.04	3.05	1.76	6.29	5.50	1.10	5.06
P023	Kalava (Epinephelus coioides)	1	5.41	6.54	9.33	14.20	5.83	3.82	4.44	4.50	3.81	4.82	8.00	6.04	3.50	1.72	5.61	5.10	1.28	5.19
P024	Kanamayya (Lutjanus rivulatus)	2	5.66	6.09	10.96	14.60	5.42	3.73	4.63	5.24	2.00	4.95	7.78	5.62	2.87	1.61	5.36	6.11	0.98	5.64
P025	Kannadi paarai (Alectis indicus)	3	5.34±0.20	6.01±0.22	9.73±1.86	13.56±0.62	5.09±0.25	3.37±0.08	4.43±0.21	4.28±0.13	4.13±0.64	4.47±0.02	7.68±0.36	6.11±0.42	2.89±0.11	1.66±0.34	5.61±0.09	5.57±0.24	1.10±0.06	5.29±0.06
P026	Karimeen (Etroplus suratensis)	1	6.36	6.48	11.62	15.32	6.34	3.69	4.50	3.20	2.30	4.59	8.06	6.50	3.61	1.70	4.03	5.11	0.78	5.24
P027	Karnagawala (Anchoa hepsetus)	1	5.69	6.63	9.28	13.80	5.18	3.33	5.36	3.39	2.85	5.06	8.51	5.43	3.66	2.54	4.68	6.80	0.91	5.83
P028	Kayrai (Thunnus albacores)	2	5.56	6.33	9.56	13.19	4.56	3.69	4.04	4.71	2.27	4.60	8.27	6.76	2.46	1.52	5.13	5.19	1.10	5.72
P029	Kiriyan (Atule mate)	1	5.54	6.56	10.05	14.49	6.06	3.37	4.22	3.93	3.07	4.54	7.39	6.30	4.14	2.34	5.09	5.37	1.24	5.59
P030	Kite fish (Mobula kuhlii)	1	5.25	6.70	10.35	14.85	6.30	3.57	4.47	4.96	3.07	4.67	8.18	5.80	3.10	1.31	4.97	5.66	1.56	4.98
P031	Korka (Terapon jarbua)	1	5.36	8.53	8.38	13.01	5.75	3.14	4.22	3.03	3.43	4.47	7.40	5.49	3.34	2.38	3.60	5.56	1.09	5.18
P032	Kulam paarai (Carangoides fulvoguttatus)	1	5.64	7.64	10.08	12.26	6.13	3.68	5.02	4.09	1.74	4.91	8.39	5.95	2.49	1.56	5.17	6.36	1.15	6.03
P033	Maagaa (Polynemus plebeius)	1	5.67	6.34	8.91	15.62	4.96	3.54	4.45	5.61	3.07	4.75	8.15	7.24	3.25	1.43	5.18	5.17	1.14	5.29
P034	Mackerel (Rastrelliger kanagurta)	3	5.41±0.54	5.81±0.54	9.96±0.72	13.38±0.59	5.28±0.26	3.27±0.24	4.46±0.11	4.59±0.15	3.63±0.31	4.64±0.16	7.91±0.35	6.39±0.19	2.56±0.23	1.68±0.36	5.25±0.29	5.71±0.39	1.00±0.06	5.47±0.19
P035	Manda clathi (Naso reticulatus)	1	5.29	6.64	10.88	13.48	5.35	3.22	4.13	4.61	2.98	4.70	8.74	6.05	3.32	1.94	6.09	4.80	0.81	5.16
P036	Matha (Acanthurus mata)	2	5.52	8.02	8.66	13.56	5.22	3.63	4.39	4.80	4.02	5.11	8.65	5.18	3.54	2.03	5.94	5.68	1.25	5.74
P037	Milk fish (Chanos chanos)	1	6.23	6.15	8.60	14.07	5.06	3.96	3.93	4.84	3.10	5.15	8.30	7.36	3.30	1.86	5.20	5.87	0.90	6.12
P038	Moon fish (Mene maculata)	1	5.67	5.74	11.43	14.70	5.36	3.58	4.07	4.26	4.94	4.89	8.27	5.84	3.12	2.01	4.73	4.64	1.22	5.54
P039	Mullet (Mugil cephalus)	3	5.57±0.29	7.18±0.38	8.33±0.67	14.52±0.52	5.76±0.37	3.54±0.37	4.60±0.36	5.27±0.31	3.35±0.30	4.66±0.04	7.91±0.13	6.41±0.60	2.96±0.20	1.39±0.10	5.44±0.13	5.92±0.39	0.93±0.06	5.32±0.10
P040	Mural (Tylosurus crocodilus)	1	5.56	6.08	8.24	14.67	5.80	3.83	4.29	4.98	4.77	4.86	8.44	5.50	3.95	1.57	5.56	5.21	0.80	5.46
P041	Myil meen (Istiophorus platypterus)	2	5.44	7.37	8.56	13.97	5.65	3.53	4.50	4.08	2.95	4.78	7.94	7.21	2.03	1.94	4.48	5.34	0.90	5.94
P042	Nalla bontha (Epinephelus sp.)	1	6.61	7.43	9.59	13.21	4.71	2.73	5.41	4.90	3.51	4.00	7.31	6.27	3.08	2.05	4.01	6.62	1.12	4.91
P043	Narba (Caranx sexfasciatus)	2	5.42	6.11	9.75	13.59	5.44	3.36	4.12	4.74	5.32	4.44	7.58	6.54	3.88	1.92	5.47	4.81	1.23	5.43
P044	Paarai (Caranx heberi)	1	6.36	6.08	11.10	14.51	6.78	4.66	3.94	3.36	3.09	4.11	7.82	7.08	3.96	1.15	4.86	4.37	1.12	5.20
P045	Padayappa (Canthidermis maculata)	1	6.30	6.06	13.85	15.76	6.40	4.06	4.30	3.55	2.45	4.69	7.94	6.22	3.27	1.35	3.84	5.02	1.22	5.23
P046	Pali kora (Panna microdon)	1	5.49	5.72	10.57	15.68	4.78	3.12	4.57	3.19	2.90	4.64	7.74	6.85	3.94	1.33	3.78	5.90	0.86	5.15
P047	Pambada (Lepturacanthus savala)	2	5.71	6.09	8.95	14.10	6.45	3.77	4.43	5.59	2.73	4.58	7.77	6.44	3.38	1.27	5.51	6.13	0.94	5.20
P048	Pandukopa (Pseudosciaena manchurica)	1	5.31	7.08	9.66	14.10	5.19	3.75	4.45	5.44	4.00	4.89	8.37	5.28	2.63	1.10	5.71	5.29	0.90	5.94
P049	Parava (Lactarius lactarius)	1	6.01	6.15	8.08	13.19	6.42	3.45	4.00	3.15	2.60	4.77	8.11	5.25	3.73	1.76	4.18	4.82	0.89	5.09
P050	Parcus (Psettodes erumei)	1	5.29	6.43	9.08	14.97	4.69	3.35	4.43	5.58	3.07	4.81	8.44	6.08	3.81	2.07	5.33	5.20	0.88	5.61
P051	Parrot fish (Scarus ghobban)	1	5.78	5.12	10.40	14.96	5.59	3.64	4.36	4.85	2.61	4.86	8.06	7.06	3.62	1.96	5.34	5.18	0.78	5.66
P052	Perinkilichai (Pinjalo pinjalo)	1	5.59	7.30	9.94	14.94	4.50	3.47	4.49	4.56	3.16	4.93	8.49	7.18	3.20	1.35	5.08	5.18	0.87	5.53
P053	Phopat (Coryphaena hippurus)	4	5.63±0.10	6.02±0.51	10.00±0.24	14.08±0.16	5.54±0.38	3.55±0.09	4.41±0.04	4.89±0.11	3.40±0.13	4.66±0.24	7.72±0.29	7.30±0.44	3.02±0.17	1.57±0.28	3.99±0.47	5.18±0.22	1.00±0.11	5.39±0.33
P054	Piranha (Pygopritis sp.)	1	6.18	5.66	11.24	15.79	6.56	3.96	4.33	4.13	3.26	4.51	8.05	7.24	2.87	1.14	3.74	5.10	1.05	5.15
P056	Pomfret, snub nose (Trachinotus blochii)	2	5.70	6.07	10.89	14.65	5.01	3.51	4.08	3.74	3.19	5.52	7.94	6.04	3.13	1.71	4.25	4.89	0.89	5.45
P057	Pomfret, white (Pampus argenteus)	2	5.09	6.11	9.11	14.69	5.66	3.15	4.34	5.98	3.80	4.64	8.21	7.03	2.99	1.75	6.38	5.28	1.11	5.42
P058	Pranel (Gerres sp.)	1	6.41	5.22	8.96	16.31	6.51	3.76	3.85	5.47	3.00	4.55	7.75	5.94	3.24	1.82	5.85	4.79	1.05	5.97
P059	Pulli paarai (Gnathanodon speciosus)	1	6.42	5.06	11.60	14.05	5.50	3.99	3.93	5.86	2.94	4.88	8.31	5.75	2.75	1.63	5.11	4.42	1.21	5.70
P060	Queen fish (Scomberoides commersonianus)	3	5.21±0.25	6.26±1.88	9.83±1.11	14.51±0.54	4.84±0.93	3.29±0.10	4.62±1.51	3.93±0.35	0.86±0.50	4.56±0.11	7.58±0.21	5.93±0.26	3.63±0.50	1.39±0.38	4.25±0.42	5.98±2.20	0.80±0.17	5.32±0.31
P061	Raai fish (Lobotes surinamensis)	2	5.67	7.02	8.14	14.18	5.58	3.76	4.61	5.04	2.80	4.52	8.05	6.48	3.10	1.76	5.54	5.91	1.07	5.17
P062	Raai vanthu (Epinephelus chlorostigma)	1	5.47	7.80	10.14	13.69	4.68	3.32	4.26	4.40	3.26	4.47	7.89	6.71	2.98	2.14	5.02	6.50	1.62	5.06
P063	Rani (Pink perch)	1	5.40	8.24	9.10	12.08	5.90	4.11	4.34	5.73	4.35	4.65	8.03	7.27	2.56	1.95	5.04	5.07	1.66	5.07
P064	Ray fish, bow head, spotted (Rhina ancylostoma)	1	5.76	6.03	8.38	16.86	6.76	3.94	4.05	3.25	3.06	4.77	7.94	6.52	2.65	1.41	5.87	5.04	0.98	4.64
P065	Red snapper (Lutjanus argentimaculatus)	1	5.21	6.48	8.80	13.92	5.17	3.31	4.76	5.48	3.14	4.57	7.89	6.32	3.80	1.68	6.28	6.16	1.12	5.26
P066	Red snapper, small (Priacanthus hamrur)	1	5.21	6.75	9.36	13.86	5.88	3.11	4.65	5.26	3.49	4.39	8.59	5.04	2.59	1.64	6.78	5.74	0.89	5.14
P067	Sadaya (Platax orbicularis )	1	5.28	7.92	9.15	14.00	5.28	3.54	4.52	3.95	3.29	4.47	8.82	5.16	2.91	1.18	6.44	5.73	1.26	5.42
P068	Salmon (Salmo salar)	1	5.31	7.25	9.77	14.05	5.50	3.53	4.82	4.97	3.60	4.78	7.83	5.44	3.15	1.52	5.40	5.87	0.92	5.63
P069	Sangada (Nemipterus japanicus)	1	4.90	7.36	8.21	13.48	5.29	3.12	4.81	5.92	2.39	4.60	8.71	6.72	2.21	1.09	6.34	6.32	0.96	5.19
P070	Sankata paarai (Caranx ignobilis)	1	5.56	4.90	10.62	14.54	4.94	3.59	4.87	4.55	2.04	4.86	8.36	6.56	3.36	1.65	6.11	5.31	1.39	5.69
P071	Sardine (Sardinella longiceps)	1	5.36	6.45	10.65	13.86	5.66	4.41	4.62	4.11	4.31	4.73	8.17	6.43	3.00	1.84	5.24	5.30	1.57	5.18
P072	Shark (Carcharhinus sorrah)	2	5.54	6.71	8.89	14.20	6.72	3.65	4.57	3.65	3.58	5.05	7.41	5.73	4.31	2.46	3.81	5.65	0.85	5.52
P073	Shark, hammer head (Sphyrna mokarran)	1	5.75	4.23	9.04	13.68	6.24	6.30	4.13	3.54	4.13	3.75	8.20	7.99	4.51	1.27	5.19	3.88	0.65	4.97
P074	Shark, spotted (Stegostoma fasciatum)	1	6.02	6.69	8.71	16.23	6.87	4.56	4.88	3.25	3.69	5.22	8.44	4.47	3.38	0.92	4.04	5.38	0.96	5.49
