food_code	food_name	number_of_regions	Alanine	Arginine	Aspartic Acid	Glutamic Acid	Glycine	Proline	Serine	Tyrosine	Histidine	Isoleucine	Leucine	Lysine	Methionine	Cystine	Phenylalanine	Threonine	Tryptophan	Valine	Aspartic Acid_std	Histidine_std	Lysine_std	Glutamic Acid_std	Methionine_std	Phenylalanine_std	Valine_std	Proline_std	Cystine_std	Glycine_std	Arginine_std	Leucine_std	Threonine_std	Tryptophan_std	Alanine_std	Tyrosine_std	Serine_std	Isoleucine_std
A	CEREALS AND MILLETS																																					
C014	Cabbage, collard greens (Brassica oleracea var. viridis)	1	7.68	4.32	11.13	21.91	5.61	5.35	4.2	2.78	1.62	3.81	6.67	3.62	1.11	0.91	4.56	4.04	1.24	5.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C015	Cabbage, green (Brassica oleracea var. capitata f. alba)	6	6.26	4.57	10.55	26.3	3.24	3.98	4.02	2.11	1.56	3.56	5.31	3.12	1.06	0.9	2.56	3.76	0.93	4.83	1.92	0.36	0.88	5.17	0.22	0.64	1.23	0.85	0.23	0.74	1.62	0.79	0.56	0.04	0.95	0.29	0.76	0.61
C016	Cabbage, violet (Brassica oleracea var. capitata f. rubra)	2	6.17	4.67	11.53	28.6	3.04	4.34	4.22	2.29	1.62	3.56	5.31	2.85	0.85	0.63	2.21	2.67	0.82	5.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C017	Cauliflower leaves (Brassica oleracea var. botrytis)	6	6.82	5.89	11.76	22.09	3.96	4.63	5.14	0.77	1.88	3.37	5.36	4.01	0.99	0.68	4.16	4.01	1.12	4.93	1.28	0.19	0.08	2.64	0.09	0.41	0.38	0.51	0.04	0.14	0.88	0.29	0.04	0.34	0.41	0.99	0.16	0.16
C018	Colocasia leaves, green (Colocasia esculenta)	6	9.4	5.84	8.55	15.25	4.66	5.01	4.52	3.78	3.4	3.51	7.45	4.26	1.79	1.07	4.43	4.53	1.01	4.64	3.08	1.66	0.62	1.91	0.48	0.74	1.52	0.18	0.3	0.5	0.43	0.5	0.25	0.3	2.53	0.21	0.32	1.02
C019	Drumstick leaves (Moringa oleifera)	3	7.18	5.56	11.94	16.87	4.6	4.0	4.79	2.87	2.06	3.1	6.7	4.38	0.92	0.75	6.45	3.75	1.27	4.38	1.8	0.21	0.29	2.55	0.17	0.58	1.28	0.37	0.04	0.17	0.61	0.59	0.47	0.23	0.84	0.23	0.55	1.17
C020	Fenugreek leaves (Trigonella foenum graecum)	5	6.06	5.45	13.48	11.12	5.21	4.92	3.94	3.55	2.4	4.47	7.5	5.88	1.28	0.74	5.52	4.9	0.99	6.27	2.09	0.23	1.09	2.92	0.1	0.23	0.6	0.89	0.19	0.45	0.97	0.63	0.61	0.13	1.35	0.26	0.88	0.55
C021	Garden cress (Lepidium sativum)	2	7.15	4.41	12.48	15.7	5.79	5.06	4.0	3.5	1.42	4.51	9.23	4.54	1.95	0.67	4.72	4.95	1.26	6.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C022	Gogu leaves, green (Hibiscus cannabinus)	4	7.3	6.04	11.78	12.63	5.17	4.31	4.88	3.4	2.61	3.64	7.6	5.61	1.31	0.73	5.04	4.63	1.07	4.55	1.43	0.11	0.26	0.43	0.11	0.28	1.16	0.14	0.13	0.45	0.39	0.37	0.16	0.25	1.61	0.19	0.63	0.79
C023	Gogu leaves, red (Hibiscus cannabinus)	1	6.79	6.92	12.21	12.82	5.57	4.69	4.79	3.8	2.72	4.34	8.6	6.03	1.76	0.86	5.65	5.1	1.04	6.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
